"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969989066258251777",2018-03-03 17:33:09,"x802015498829373441","news_shed","Health officials say this year’s nasty flu season has finally passed its peak https://t.co/64OFX1bPKp","IFTTT",,,,FALSE,FALSE,0,0,,,"ift.tt/2oG7taC","https://t.co/64OFX1bPKp","http://ift.tt/2oG7taC",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969989051469254659",2018-03-03 17:33:06,"x294668791","McFlyTexas","@AZGrammy5 Oh No! Flu? Kick it in the arse my dear!! <f0><U+009F><U+0092><U+00AA>","Twitter for Android","x969980236967260160","x67668116","AZGrammy5",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x67668116","AZGrammy5","en",,,,,,,,,,,,,
"x969989045722992640",2018-03-03 17:33:04,"x3043558727","JonathanYX","this flu is trying to take me out yo...I still gotta travel the world &amp; see my kid go to the NBA...pray for me <f0><U+009F><U+0099><U+008F>","Twitter for iPhone",,,,FALSE,FALSE,10,0,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json","Florida","Florida, USA","admin","United States","US",,,"-87.634643 -79.974307 -79.974307 -87.634643 24.396308 24.396308 31.001056 31.001056"
"x969989027947601921",2018-03-03 17:33:00,"x124161387","DailyTrib","Worst of bad US #flu season finally over as illnesses decline https://t.co/AhA4KExvQh https://t.co/0na43yCK1G","TweetDeck",,,,FALSE,FALSE,0,0,"flu",,"bit.ly/2H10lMI","https://t.co/AhA4KExvQh","http://bit.ly/2H10lMI","http://pbs.twimg.com/media/DXYPVbXV4AAHbMM.jpg","https://t.co/0na43yCK1G","https://twitter.com/DailyTrib/status/969989027947601921/photo/1","photo","http://pbs.twimg.com/media/DXYPVbXV4AAHbMM.jpg","https://t.co/0na43yCK1G","https://twitter.com/DailyTrib/status/969989027947601921/photo/1",,,,"en",,,,,,,,,,,,,
"x969989007730970624",2018-03-03 17:32:55,"x304154528","Junes_Flyest","I got the flu please pardon me","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/7f55cb1b2db9bf49.json","Smithfield","Smithfield, VA","city","United States","US",,,"-76.665123 -76.581183 -76.581183 -76.665123 36.949187 36.949187 36.996641 36.996641"
"x969988974788964355",2018-03-03 17:32:47,"x3351382786","LisaLGM1","@rayjr148 Thank you! I was up in Cambridge last week and no one was sick. Came back to NJ and everyone has the flu.","Twitter for Android","x969988547628490753","x2357430107","rayjr148",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2357430107","rayjr148","en",,,,,,,,,,,,,
"x969988963296522241",2018-03-03 17:32:45,"x58191746","deedeeliii","RT @AprilPerk2012: Bucket list= see @blakeshelton in concert... DONE!!!!  Aaannnddd even with the flu!!! It was A-MAZ-ING!!  Thanks for a g…","Twitter for Android",,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,"x2959808544 14920785","AprilPerk2012 blakeshelton","en",,,"x969957653484056577","Bucket list= see @blakeshelton in concert... DONE!!!!  Aaannnddd even with the flu!!! It was A-MAZ-ING!!  Thanks for a great show!!!! <f0><U+009F><U+008D><U+00BB><f0><U+009F><U+00A5><U+0083><f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+008E><U+00B6> https://t.co/RFHveChxAw",,,,,,,,,
"x969988861580333056",2018-03-03 17:32:20,"x18109460","MaxineEThompson","Writers and Flu Season by Dr. Maxine Thompson #flu #health #amwriting https://t.co/lQuh2k6Qdf","Twitter Web Client",,,,FALSE,FALSE,0,0,"flu health amwriting",,"shewrites.com/blog/view/2841…","https://t.co/lQuh2k6Qdf","https://www.shewrites.com/blog/view/2841679/writers-and-flu-season-by-dr-maxine-thompson",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969988768932483072",2018-03-03 17:31:58,"x805528640184287238","raumunz","RT @CityOfLasVegas: On the latest episode of #TrendingVegas with @vegasmeld: the @lvlightsfc the Olympics, how to stay healthy during flu s…","Twitter Lite",,,,FALSE,TRUE,0,2,"TrendingVegas",,,,,,,,,,,,,"x38456605 56477694 883823274269917189","CityOfLasVegas vegasMelD lvlightsfc","en",,,"x969980767811104768","On the latest episode of #TrendingVegas with @vegasmeld: the @lvlightsfc the Olympics, how to stay healthy during flu season with @SNHDinfo and more: https://t.co/ymEgoLciBv https://t.co/ioKGD9QRZw",,,,,,,,,
"x969988692054966272",2018-03-03 17:31:40,"x936016001975705600","JacobEspino_","Recently I have found the best way to get rid of the flu is to puke your guts out 3 times then sweat profusely til you feel better. <f0><U+009F><U+0098><U+0092>","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
